sample 16 	 MSE: 5383.14 	 SSIM: 0.00 
sample 17 	 MSE: 5261.32 	 SSIM: 0.00 
sample 18 	 MSE: 4370.51 	 SSIM: 0.00 
sample 19 	 MSE: 3257.45 	 SSIM: 0.00 
sample 20 	 MSE: 5383.14 	 SSIM: 0.00 
sample 21 	 MSE: 5611.99 	 SSIM: 0.00 
sample 22 	 MSE: 3954.96 	 SSIM: 0.00 
sample 23 	 MSE: 3196.39 	 SSIM: 0.00 
sample 24 	 MSE: 3595.21 	 SSIM: 0.00 
sample 25 	 MSE: 5327.47 	 SSIM: 0.00 
sample 26 	 MSE: 5701.20 	 SSIM: 0.00 
sample 27 	 MSE: 3990.67 	 SSIM: 0.00 
sample 28 	 MSE: 3615.76 	 SSIM: 0.00 
sample 29 	 MSE: 5354.19 	 SSIM: 0.00 
sample 30 	 MSE: 2923.74 	 SSIM: 0.00 
sample 31 	 MSE: 4266.61 	 SSIM: 0.00 
sample 32 	 MSE: 4617.99 	 SSIM: 0.00 
sample 33 	 MSE: 4370.51 	 SSIM: 0.00 
sample 34 	 MSE: 5951.26 	 SSIM: 0.00 
sample 35 	 MSE: 5701.20 	 SSIM: 0.00 
sample 36 	 MSE: 5790.46 	 SSIM: 0.00 
sample 37 	 MSE: 5190.21 	 SSIM: 0.00 
sample 38 	 MSE: 5143.05 	 SSIM: 0.00 
sample 39 	 MSE: 5540.86 	 SSIM: 0.00 
sample 40 	 MSE: 5137.27 	 SSIM: 0.00 
sample 41 	 MSE: 4458.42 	 SSIM: 0.00 
sample 42 	 MSE: 4219.36 	 SSIM: 0.00 
sample 43 	 MSE: 5361.78 	 SSIM: 0.00 
sample 44 	 MSE: 5498.01 	 SSIM: 0.00 
sample 45 	 MSE: 3493.67 	 SSIM: 0.00 
sample 46 	 MSE: 5261.32 	 SSIM: 0.00 
sample 47 	 MSE: 5701.20 	 SSIM: 0.00 
sample 48 	 MSE: 5487.57 	 SSIM: 0.00 
sample 49 	 MSE: 5143.05 	 SSIM: 0.00 
sample 50 	 MSE: 5612.64 	 SSIM: 0.00 
sample 51 	 MSE: 3994.70 	 SSIM: 0.00 
sample 52 	 MSE: 5175.05 	 SSIM: 0.00 
sample 53 	 MSE: 3152.49 	 SSIM: 0.00 
sample 54 	 MSE: 3257.45 	 SSIM: 0.00 
sample 55 	 MSE: 3960.94 	 SSIM: 0.00 
sample 56 	 MSE: 3736.86 	 SSIM: 0.00 
sample 57 	 MSE: 3152.49 	 SSIM: 0.00 
sample 58 	 MSE: 5318.82 	 SSIM: 0.00 
sample 59 	 MSE: 4370.51 	 SSIM: 0.00 
sample 60 	 MSE: 4617.99 	 SSIM: 0.00 
sample 61 	 MSE: 3990.67 	 SSIM: 0.00 
sample 62 	 MSE: 4266.61 	 SSIM: 0.00 
sample 63 	 MSE: 3113.79 	 SSIM: 0.00 
Iteration 899 :sample 0 	 MSE: 5281.32 	 SSIM: 0.00 
sample 1 	 MSE: 4458.42 	 SSIM: 0.00 
sample 2 	 MSE: 5472.86 	 SSIM: 0.00 
sample 3 	 MSE: 5701.20 	 SSIM: 0.00 
sample 4 	 MSE: 5513.39 	 SSIM: 0.00 
sample 5 	 MSE: 5466.38 	 SSIM: 0.00 
sample 6 	 MSE: 5155.91 	 SSIM: 0.00 
sample 7 	 MSE: 4953.35 	 SSIM: 0.00 
sample 8 	 MSE: 3628.81 	 SSIM: 0.00 
sample 9 	 MSE: 4251.60 	 SSIM: 0.00 
sample 10 	 MSE: 5250.23 	 SSIM: 0.00 
sample 11 	 MSE: 5513.39 	 SSIM: 0.00 
sample 12 	 MSE: 5951.26 	 SSIM: 0.00 
sample 13 	 MSE: 5338.75 	 SSIM: 0.00 
sample 14 	 MSE: 4290.64 	 SSIM: 0.00 
sample 15 	 MSE: 5466.38 	 SSIM: 0.00 
sample 16 	 MSE: 5383.14 	 SSIM: 0.00 
sample 17 	 MSE: 5261.32 	 SSIM: 0.00 
sample 18 	 MSE: 4370.51 	 SSIM: 0.00 
sample 19 	 MSE: 3257.45 	 SSIM: 0.00 
sample 20 	 MSE: 5383.14 	 SSIM: 0.00 
sample 21 	 MSE: 5611.99 	 SSIM: 0.00 
sample 22 	 MSE: 3954.96 	 SSIM: 0.00 
sample 23 	 MSE: 3196.39 	 SSIM: 0.00 
sample 24 	 MSE: 3595.21 	 SSIM: 0.00 
sample 25 	 MSE: 5327.47 	 SSIM: 0.00 
sample 26 	 MSE: 5701.20 	 SSIM: 0.00 
sample 27 	 MSE: 3990.67 	 SSIM: 0.00 
sample 28 	 MSE: 3615.76 	 SSIM: 0.00 
sample 29 	 MSE: 5354.19 	 SSIM: 0.00 
sample 30 	 MSE: 2923.74 	 SSIM: 0.00 
sample 31 	 MSE: 4266.61 	 SSIM: 0.00 
sample 32 	 MSE: 4617.99 	 SSIM: 0.00 
sample 33 	 MSE: 4370.51 	 SSIM: 0.00 
sample 34 	 MSE: 5951.26 	 SSIM: 0.00 
sample 35 	 MSE: 5701.20 	 SSIM: 0.00 
sample 36 	 MSE: 5790.46 	 SSIM: 0.00 
sample 37 	 MSE: 5190.21 	 SSIM: 0.00 
sample 38 	 MSE: 5143.05 	 SSIM: 0.00 
sample 39 	 MSE: 5540.86 	 SSIM: 0.00 
sample 40 	 MSE: 5137.27 	 SSIM: 0.00 
sample 41 	 MSE: 4458.42 	 SSIM: 0.00 
sample 42 	 MSE: 4219.36 	 SSIM: 0.00 
sample 43 	 MSE: 5361.78 	 SSIM: 0.00 
sample 44 	 MSE: 5498.01 	 SSIM: 0.00 
sample 45 	 MSE: 3493.67 	 SSIM: 0.00 
sample 46 	 MSE: 5261.32 	 SSIM: 0.00 
sample 47 	 MSE: 5701.20 	 SSIM: 0.00 
sample 48 	 MSE: 5487.57 	 SSIM: 0.00 
sample 49 	 MSE: 5143.05 	 SSIM: 0.00 
sample 50 	 MSE: 5612.64 	 SSIM: 0.00 
sample 51 	 MSE: 3994.70 	 SSIM: 0.00 
sample 52 	 MSE: 5175.05 	 SSIM: 0.00 
sample 53 	 MSE: 3152.49 	 SSIM: 0.00 
sample 54 	 MSE: 3257.45 	 SSIM: 0.00 
sample 55 	 MSE: 3960.94 	 SSIM: 0.00 
sample 56 	 MSE: 3736.86 	 SSIM: 0.00 
sample 57 	 MSE: 3152.49 	 SSIM: 0.00 
sample 58 	 MSE: 5318.82 	 SSIM: 0.00 
sample 59 	 MSE: 4370.51 	 SSIM: 0.00 
sample 60 	 MSE: 4617.99 	 SSIM: 0.00 
sample 61 	 MSE: 3990.67 	 SSIM: 0.00 
sample 62 	 MSE: 4266.61 	 SSIM: 0.00 
sample 63 	 MSE: 3113.79 	 SSIM: 0.00 
Iteration 999 :sample 0 	 MSE: 5281.32 	 SSIM: 0.00 
sample 1 	 MSE: 4458.42 	 SSIM: 0.00 
sample 2 	 MSE: 5472.86 	 SSIM: 0.00 
sample 3 	 MSE: 5701.20 	 SSIM: 0.00 
sample 4 	 MSE: 5513.39 	 SSIM: 0.00 
sample 5 	 MSE: 5466.38 	 SSIM: 0.00 
sample 6 	 MSE: 5155.91 	 SSIM: 0.00 
sample 7 	 MSE: 4953.35 	 SSIM: 0.00 
sample 8 	 MSE: 3628.81 	 SSIM: 0.00 
sample 9 	 MSE: 4251.60 	 SSIM: 0.00 
sample 10 	 MSE: 5250.23 	 SSIM: 0.00 
sample 11 	 MSE: 5513.39 	 SSIM: 0.00 
sample 12 	 MSE: 5951.26 	 SSIM: 0.00 
sample 13 	 MSE: 5338.75 	 SSIM: 0.00 
sample 14 	 MSE: 4290.64 	 SSIM: 0.00 
sample 15 	 MSE: 5466.38 	 SSIM: 0.00 
sample 16 	 MSE: 5383.14 	 SSIM: 0.00 
sample 17 	 MSE: 5261.32 	 SSIM: 0.00 
sample 18 	 MSE: 4370.51 	 SSIM: 0.00 
sample 19 	 MSE: 3257.45 	 SSIM: 0.00 
sample 20 	 MSE: 5383.14 	 SSIM: 0.00 
sample 21 	 MSE: 5611.99 	 SSIM: 0.00 
sample 22 	 MSE: 3954.96 	 SSIM: 0.00 
sample 23 	 MSE: 3196.39 	 SSIM: 0.00 
sample 24 	 MSE: 3595.21 	 SSIM: 0.00 
sample 25 	 MSE: 5327.47 	 SSIM: 0.00 
sample 26 	 MSE: 5701.20 	 SSIM: 0.00 
sample 27 	 MSE: 3990.67 	 SSIM: 0.00 
sample 28 	 MSE: 3615.76 	 SSIM: 0.00 
sample 29 	 MSE: 5354.19 	 SSIM: 0.00 
sample 30 	 MSE: 2923.74 	 SSIM: 0.00 
sample 31 	 MSE: 4266.61 	 SSIM: 0.00 
sample 32 	 MSE: 4617.99 	 SSIM: 0.00 
sample 33 	 MSE: 4370.51 	 SSIM: 0.00 
sample 34 	 MSE: 5951.26 	 SSIM: 0.00 
sample 35 	 MSE: 5701.20 	 SSIM: 0.00 
sample 36 	 MSE: 5790.46 	 SSIM: 0.00 
sample 37 	 MSE: 5190.21 	 SSIM: 0.00 
sample 38 	 MSE: 5143.05 	 SSIM: 0.00 
