Iteration 99 : 
sample 31 	 MSE: 14.45 	 SSIM: 0.00 
sample 32 	 MSE: 13.19 	 SSIM: 0.00 
sample 33 	 MSE: 12.89 	 SSIM: 0.00 
sample 34 	 MSE: 15.22 	 SSIM: 0.00 
sample 35 	 MSE: 14.93 	 SSIM: 0.00 
sample 36 	 MSE: 11.90 	 SSIM: 0.00 
sample 37 	 MSE: 14.84 	 SSIM: 0.00 
sample 38 	 MSE: 14.51 	 SSIM: 0.00 
sample 39 	 MSE: 12.89 	 SSIM: 0.00 
sample 40 	 MSE: 15.45 	 SSIM: 0.00 
sample 41 	 MSE: 13.25 	 SSIM: 0.00 
sample 42 	 MSE: 18.85 	 SSIM: 0.00 
sample 43 	 MSE: 14.03 	 SSIM: 0.00 
sample 44 	 MSE: 14.46 	 SSIM: 0.00 
sample 45 	 MSE: 11.18 	 SSIM: 0.00 
sample 46 	 MSE: 12.46 	 SSIM: 0.00 
sample 47 	 MSE: 14.43 	 SSIM: 0.00 
sample 48 	 MSE: 16.28 	 SSIM: 0.00 
sample 49 	 MSE: 11.18 	 SSIM: 0.00 
sample 50 	 MSE: 12.97 	 SSIM: 0.00 
sample 51 	 MSE: 13.49 	 SSIM: 0.00 
sample 52 	 MSE: 14.19 	 SSIM: 0.00 
sample 53 	 MSE: 14.62 	 SSIM: 0.00 
sample 54 	 MSE: 14.18 	 SSIM: 0.00 
sample 55 	 MSE: 15.65 	 SSIM: 0.00 
sample 56 	 MSE: 13.57 	 SSIM: 0.00 
sample 57 	 MSE: 12.88 	 SSIM: 0.00 
sample 58 	 MSE: 16.18 	 SSIM: 0.00 
sample 59 	 MSE: 11.89 	 SSIM: 0.00 
sample 60 	 MSE: 12.96 	 SSIM: 0.00 
sample 61 	 MSE: 13.80 	 SSIM: 0.00 
sample 62 	 MSE: 14.34 	 SSIM: 0.00 
sample 63 	 MSE: 13.88 	 SSIM: 0.00 
Iteration 899 : 
sample 0 	 MSE: 14.58 	 SSIM: 0.00 
sample 1 	 MSE: 13.42 	 SSIM: 0.00 
sample 2 	 MSE: 15.06 	 SSIM: 0.00 
sample 3 	 MSE: 16.25 	 SSIM: 0.00 
sample 4 	 MSE: 15.12 	 SSIM: 0.00 
sample 5 	 MSE: 15.21 	 SSIM: 0.00 
sample 6 	 MSE: 12.46 	 SSIM: 0.00 
sample 7 	 MSE: 12.97 	 SSIM: 0.00 
sample 8 	 MSE: 14.62 	 SSIM: 0.00 
sample 9 	 MSE: 14.15 	 SSIM: 0.00 
sample 10 	 MSE: 14.15 	 SSIM: 0.00 
sample 11 	 MSE: 14.29 	 SSIM: 0.00 
sample 12 	 MSE: 13.76 	 SSIM: 0.00 
sample 13 	 MSE: 12.46 	 SSIM: 0.00 
sample 14 	 MSE: 14.70 	 SSIM: 0.00 
sample 15 	 MSE: 12.57 	 SSIM: 0.00 
sample 16 	 MSE: 14.12 	 SSIM: 0.00 
sample 17 	 MSE: 13.76 	 SSIM: 0.00 
sample 18 	 MSE: 11.49 	 SSIM: 0.00 
sample 19 	 MSE: 13.68 	 SSIM: 0.00 
sample 20 	 MSE: 12.89 	 SSIM: 0.00 
sample 21 	 MSE: 12.57 	 SSIM: 0.00 
sample 22 	 MSE: 18.85 	 SSIM: 0.00 
sample 23 	 MSE: 13.93 	 SSIM: 0.00 
sample 24 	 MSE: 12.97 	 SSIM: 0.00 
sample 25 	 MSE: 14.29 	 SSIM: 0.00 
sample 26 	 MSE: 13.38 	 SSIM: 0.00 
sample 27 	 MSE: 14.44 	 SSIM: 0.00 
sample 28 	 MSE: 17.63 	 SSIM: 0.00 
sample 29 	 MSE: 16.68 	 SSIM: 0.00 
sample 30 	 MSE: 12.50 	 SSIM: 0.00 
sample 31 	 MSE: 14.45 	 SSIM: 0.00 
sample 32 	 MSE: 13.19 	 SSIM: 0.00 
sample 33 	 MSE: 12.89 	 SSIM: 0.00 
sample 34 	 MSE: 15.22 	 SSIM: 0.00 
sample 35 	 MSE: 14.93 	 SSIM: 0.00 
sample 36 	 MSE: 11.90 	 SSIM: 0.00 
sample 37 	 MSE: 14.84 	 SSIM: 0.00 
sample 38 	 MSE: 14.51 	 SSIM: 0.00 
sample 39 	 MSE: 12.89 	 SSIM: 0.00 
sample 40 	 MSE: 15.45 	 SSIM: 0.00 
sample 41 	 MSE: 13.25 	 SSIM: 0.00 
sample 42 	 MSE: 18.85 	 SSIM: 0.00 
sample 43 	 MSE: 14.03 	 SSIM: 0.00 
sample 44 	 MSE: 14.46 	 SSIM: 0.00 
sample 45 	 MSE: 11.18 	 SSIM: 0.00 
sample 46 	 MSE: 12.46 	 SSIM: 0.00 
sample 47 	 MSE: 14.43 	 SSIM: 0.00 
sample 48 	 MSE: 16.28 	 SSIM: 0.00 
sample 49 	 MSE: 11.18 	 SSIM: 0.00 
sample 50 	 MSE: 12.97 	 SSIM: 0.00 
sample 51 	 MSE: 13.49 	 SSIM: 0.00 
sample 52 	 MSE: 14.19 	 SSIM: 0.00 
sample 53 	 MSE: 14.62 	 SSIM: 0.00 
sample 54 	 MSE: 14.18 	 SSIM: 0.00 
sample 55 	 MSE: 15.65 	 SSIM: 0.00 
sample 56 	 MSE: 13.57 	 SSIM: 0.00 
sample 57 	 MSE: 12.88 	 SSIM: 0.00 
sample 58 	 MSE: 16.18 	 SSIM: 0.00 
sample 59 	 MSE: 11.89 	 SSIM: 0.00 
sample 60 	 MSE: 12.96 	 SSIM: 0.00 
sample 61 	 MSE: 13.80 	 SSIM: 0.00 
sample 62 	 MSE: 14.34 	 SSIM: 0.00 
sample 63 	 MSE: 13.88 	 SSIM: 0.00 
Iteration 999 : 
sample 0 	 MSE: 14.58 	 SSIM: 0.00 
sample 1 	 MSE: 13.42 	 SSIM: 0.00 
sample 2 	 MSE: 15.06 	 SSIM: 0.00 
sample 3 	 MSE: 16.25 	 SSIM: 0.00 
sample 4 	 MSE: 15.12 	 SSIM: 0.00 
sample 5 	 MSE: 15.21 	 SSIM: 0.00 
sample 6 	 MSE: 12.46 	 SSIM: 0.00 
sample 7 	 MSE: 12.97 	 SSIM: 0.00 
sample 8 	 MSE: 14.62 	 SSIM: 0.00 
sample 9 	 MSE: 14.15 	 SSIM: 0.00 
sample 10 	 MSE: 14.15 	 SSIM: 0.00 
sample 11 	 MSE: 14.29 	 SSIM: 0.00 
sample 12 	 MSE: 13.76 	 SSIM: 0.00 
sample 13 	 MSE: 12.46 	 SSIM: 0.00 
sample 14 	 MSE: 14.70 	 SSIM: 0.00 
sample 15 	 MSE: 12.57 	 SSIM: 0.00 
sample 16 	 MSE: 14.12 	 SSIM: 0.00 
sample 17 	 MSE: 13.76 	 SSIM: 0.00 
sample 18 	 MSE: 11.49 	 SSIM: 0.00 
sample 19 	 MSE: 13.68 	 SSIM: 0.00 
sample 20 	 MSE: 12.89 	 SSIM: 0.00 
sample 21 	 MSE: 12.57 	 SSIM: 0.00 
sample 22 	 MSE: 18.85 	 SSIM: 0.00 
sample 23 	 MSE: 13.93 	 SSIM: 0.00 
sample 24 	 MSE: 12.97 	 SSIM: 0.00 
sample 25 	 MSE: 14.29 	 SSIM: 0.00 
sample 26 	 MSE: 13.38 	 SSIM: 0.00 
sample 27 	 MSE: 14.44 	 SSIM: 0.00 
sample 28 	 MSE: 17.63 	 SSIM: 0.00 
sample 29 	 MSE: 16.68 	 SSIM: 0.00 
sample 30 	 MSE: 12.50 	 SSIM: 0.00 
sample 31 	 MSE: 14.45 	 SSIM: 0.00 
sample 32 	 MSE: 13.19 	 SSIM: 0.00 
sample 33 	 MSE: 12.89 	 SSIM: 0.00 
sample 34 	 MSE: 15.22 	 SSIM: 0.00 
sample 35 	 MSE: 14.93 	 SSIM: 0.00 
sample 36 	 MSE: 11.90 	 SSIM: 0.00 
sample 37 	 MSE: 14.84 	 SSIM: 0.00 
sample 38 	 MSE: 14.51 	 SSIM: 0.00 
sample 39 	 MSE: 12.89 	 SSIM: 0.00 
sample 40 	 MSE: 15.45 	 SSIM: 0.00 
sample 41 	 MSE: 13.25 	 SSIM: 0.00 
sample 42 	 MSE: 18.85 	 SSIM: 0.00 
sample 43 	 MSE: 14.03 	 SSIM: 0.00 
sample 44 	 MSE: 14.46 	 SSIM: 0.00 
sample 45 	 MSE: 11.18 	 SSIM: 0.00 
sample 46 	 MSE: 12.46 	 SSIM: 0.00 
sample 47 	 MSE: 14.43 	 SSIM: 0.00 
sample 48 	 MSE: 16.28 	 SSIM: 0.00 
sample 49 	 MSE: 11.18 	 SSIM: 0.00 
sample 50 	 MSE: 12.97 	 SSIM: 0.00 
sample 51 	 MSE: 13.49 	 SSIM: 0.00 
sample 52 	 MSE: 14.19 	 SSIM: 0.00 
sample 53 	 MSE: 14.62 	 SSIM: 0.00 
sample 54 	 MSE: 14.18 	 SSIM: 0.00 
sample 55 	 MSE: 15.65 	 SSIM: 0.00 
sample 56 	 MSE: 13.57 	 SSIM: 0.00 
sample 57 	 MSE: 12.88 	 SSIM: 0.00 
sample 58 	 MSE: 16.18 	 SSIM: 0.00 
sample 59 	 MSE: 11.89 	 SSIM: 0.00 
sample 60 	 MSE: 12.96 	 SSIM: 0.00 
sample 61 	 MSE: 13.80 	 SSIM: 0.00 
sample 62 	 MSE: 14.34 	 SSIM: 0.00 
sample 63 	 MSE: 13.88 	 SSIM: 0.00 
Iteration 1099 : 
sample 0 	 MSE: 14.58 	 SSIM: 0.00 
sample 1 	 MSE: 13.42 	 SSIM: 0.00 
sample 2 	 MSE: 15.06 	 SSIM: 0.00 
sample 3 	 MSE: 16.25 	 SSIM: 0.00 
sample 4 	 MSE: 15.12 	 SSIM: 0.00 
sample 5 	 MSE: 15.21 	 SSIM: 0.00 
sample 6 	 MSE: 12.46 	 SSIM: 0.00 
sample 7 	 MSE: 12.97 	 SSIM: 0.00 
sample 8 	 MSE: 14.62 	 SSIM: 0.00 
sample 9 	 MSE: 14.15 	 SSIM: 0.00 
sample 10 	 MSE: 14.15 	 SSIM: 0.00 
sample 11 	 MSE: 14.29 	 SSIM: 0.00 
sample 12 	 MSE: 13.76 	 SSIM: 0.00 
sample 13 	 MSE: 12.46 	 SSIM: 0.00 
sample 14 	 MSE: 14.70 	 SSIM: 0.00 
sample 15 	 MSE: 12.57 	 SSIM: 0.00 
sample 16 	 MSE: 14.12 	 SSIM: 0.00 
sample 17 	 MSE: 13.76 	 SSIM: 0.00 
sample 18 	 MSE: 11.49 	 SSIM: 0.00 
sample 19 	 MSE: 13.68 	 SSIM: 0.00 
sample 20 	 MSE: 12.89 	 SSIM: 0.00 
sample 21 	 MSE: 12.57 	 SSIM: 0.00 
sample 22 	 MSE: 18.85 	 SSIM: 0.00 
sample 23 	 MSE: 13.93 	 SSIM: 0.00 
sample 24 	 MSE: 12.97 	 SSIM: 0.00 
sample 25 	 MSE: 14.29 	 SSIM: 0.00 
sample 26 	 MSE: 13.38 	 SSIM: 0.00 
sample 27 	 MSE: 14.44 	 SSIM: 0.00 
sample 28 	 MSE: 17.63 	 SSIM: 0.00 
sample 29 	 MSE: 16.68 	 SSIM: 0.00 
sample 30 	 MSE: 12.50 	 SSIM: 0.00 
sample 31 	 MSE: 14.45 	 SSIM: 0.00 
sample 32 	 MSE: 13.19 	 SSIM: 0.00 
sample 33 	 MSE: 12.89 	 SSIM: 0.00 
sample 34 	 MSE: 15.22 	 SSIM: 0.00 
sample 35 	 MSE: 14.93 	 SSIM: 0.00 
sample 36 	 MSE: 11.90 	 SSIM: 0.00 
sample 37 	 MSE: 14.84 	 SSIM: 0.00 
sample 38 	 MSE: 14.51 	 SSIM: 0.00 
sample 39 	 MSE: 12.89 	 SSIM: 0.00 
sample 40 	 MSE: 15.45 	 SSIM: 0.00 
sample 41 	 MSE: 13.25 	 SSIM: 0.00 
sample 42 	 MSE: 18.85 	 SSIM: 0.00 
sample 43 	 MSE: 14.03 	 SSIM: 0.00 
sample 44 	 MSE: 14.46 	 SSIM: 0.00 
sample 45 	 MSE: 11.18 	 SSIM: 0.00 
sample 46 	 MSE: 12.46 	 SSIM: 0.00 
sample 47 	 MSE: 14.43 	 SSIM: 0.00 
sample 48 	 MSE: 16.28 	 SSIM: 0.00 
sample 49 	 MSE: 11.18 	 SSIM: 0.00 
sample 50 	 MSE: 12.97 	 SSIM: 0.00 
sample 51 	 MSE: 13.49 	 SSIM: 0.00 
sample 52 	 MSE: 14.19 	 SSIM: 0.00 
sample 53 	 MSE: 14.62 	 SSIM: 0.00 
sample 54 	 MSE: 14.18 	 SSIM: 0.00 
sample 55 	 MSE: 15.65 	 SSIM: 0.00 
sample 56 	 MSE: 13.57 	 SSIM: 0.00 
sample 57 	 MSE: 12.88 	 SSIM: 0.00 
sample 58 	 MSE: 16.18 	 SSIM: 0.00 
sample 59 	 MSE: 11.89 	 SSIM: 0.00 
sample 60 	 MSE: 12.96 	 SSIM: 0.00 
sample 61 	 MSE: 13.80 	 SSIM: 0.00 
sample 62 	 MSE: 14.34 	 SSIM: 0.00 
sample 63 	 MSE: 13.88 	 SSIM: 0.00 
Iteration 1199 : 
sample 0 	 MSE: 14.58 	 SSIM: 0.00 
sample 1 	 MSE: 13.42 	 SSIM: 0.00 
sample 2 	 MSE: 15.06 	 SSIM: 0.00 
sample 3 	 MSE: 16.25 	 SSIM: 0.00 
sample 4 	 MSE: 15.12 	 SSIM: 0.00 
sample 5 	 MSE: 15.21 	 SSIM: 0.00 
sample 6 	 MSE: 12.46 	 SSIM: 0.00 
sample 7 	 MSE: 12.97 	 SSIM: 0.00 
sample 8 	 MSE: 14.62 	 SSIM: 0.00 
sample 9 	 MSE: 14.15 	 SSIM: 0.00 
sample 10 	 MSE: 14.15 	 SSIM: 0.00 
sample 11 	 MSE: 14.29 	 SSIM: 0.00 
sample 12 	 MSE: 13.76 	 SSIM: 0.00 
sample 13 	 MSE: 12.46 	 SSIM: 0.00 
sample 14 	 MSE: 14.70 	 SSIM: 0.00 
sample 15 	 MSE: 12.57 	 SSIM: 0.00 
sample 16 	 MSE: 14.12 	 SSIM: 0.00 
sample 17 	 MSE: 13.76 	 SSIM: 0.00 
sample 18 	 MSE: 11.49 	 SSIM: 0.00 
sample 19 	 MSE: 13.68 	 SSIM: 0.00 
sample 20 	 MSE: 12.89 	 SSIM: 0.00 
sample 21 	 MSE: 12.57 	 SSIM: 0.00 
sample 22 	 MSE: 18.85 	 SSIM: 0.00 
sample 23 	 MSE: 13.93 	 SSIM: 0.00 
sample 24 	 MSE: 12.97 	 SSIM: 0.00 
sample 25 	 MSE: 14.29 	 SSIM: 0.00 
sample 26 	 MSE: 13.38 	 SSIM: 0.00 
sample 27 	 MSE: 14.44 	 SSIM: 0.00 
sample 28 	 MSE: 17.63 	 SSIM: 0.00 
sample 29 	 MSE: 16.68 	 SSIM: 0.00 
sample 30 	 MSE: 12.50 	 SSIM: 0.00 
sample 31 	 MSE: 14.45 	 SSIM: 0.00 
sample 32 	 MSE: 13.19 	 SSIM: 0.00 
sample 33 	 MSE: 12.89 	 SSIM: 0.00 
sample 34 	 MSE: 15.22 	 SSIM: 0.00 
sample 35 	 MSE: 14.93 	 SSIM: 0.00 
sample 36 	 MSE: 11.90 	 SSIM: 0.00 
sample 37 	 MSE: 14.84 	 SSIM: 0.00 
sample 38 	 MSE: 14.51 	 SSIM: 0.00 
sample 39 	 MSE: 12.89 	 SSIM: 0.00 
sample 40 	 MSE: 15.45 	 SSIM: 0.00 
sample 41 	 MSE: 13.25 	 SSIM: 0.00 
sample 42 	 MSE: 18.85 	 SSIM: 0.00 
sample 43 	 MSE: 14.03 	 SSIM: 0.00 
sample 44 	 MSE: 14.46 	 SSIM: 0.00 
sample 45 	 MSE: 11.18 	 SSIM: 0.00 
sample 46 	 MSE: 12.46 	 SSIM: 0.00 
sample 47 	 MSE: 14.43 	 SSIM: 0.00 
sample 48 	 MSE: 16.28 	 SSIM: 0.00 
sample 49 	 MSE: 11.18 	 SSIM: 0.00 
sample 50 	 MSE: 12.97 	 SSIM: 0.00 
sample 51 	 MSE: 13.49 	 SSIM: 0.00 
sample 52 	 MSE: 14.19 	 SSIM: 0.00 
sample 53 	 MSE: 14.62 	 SSIM: 0.00 
sample 54 	 MSE: 14.18 	 SSIM: 0.00 
sample 55 	 MSE: 15.65 	 SSIM: 0.00 
sample 56 	 MSE: 13.57 	 SSIM: 0.00 
sample 57 	 MSE: 12.88 	 SSIM: 0.00 
sample 58 	 MSE: 16.18 	 SSIM: 0.00 
sample 59 	 MSE: 11.89 	 SSIM: 0.00 
sample 60 	 MSE: 12.96 	 SSIM: 0.00 
sample 61 	 MSE: 13.80 	 SSIM: 0.00 
sample 62 	 MSE: 14.34 	 SSIM: 0.00 
sample 63 	 MSE: 13.88 	 SSIM: 0.00 
Iteration 1299 : 
sample 0 	 MSE: 14.58 	 SSIM: 0.00 
sample 1 	 MSE: 13.42 	 SSIM: 0.00 
sample 2 	 MSE: 15.06 	 SSIM: 0.00 
sample 3 	 MSE: 16.25 	 SSIM: 0.00 
sample 4 	 MSE: 15.12 	 SSIM: 0.00 
sample 5 	 MSE: 15.21 	 SSIM: 0.00 
sample 6 	 MSE: 12.46 	 SSIM: 0.00 
sample 7 	 MSE: 12.97 	 SSIM: 0.00 
sample 8 	 MSE: 14.62 	 SSIM: 0.00 
sample 9 	 MSE: 14.15 	 SSIM: 0.00 
sample 10 	 MSE: 14.15 	 SSIM: 0.00 
sample 11 	 MSE: 14.29 	 SSIM: 0.00 
sample 12 	 MSE: 13.76 	 SSIM: 0.00 
sample 13 	 MSE: 12.46 	 SSIM: 0.00 
sample 14 	 MSE: 14.70 	 SSIM: 0.00 
sample 15 	 MSE: 12.57 	 SSIM: 0.00 
sample 16 	 MSE: 14.12 	 SSIM: 0.00 
sample 17 	 MSE: 13.76 	 SSIM: 0.00 
sample 18 	 MSE: 11.49 	 SSIM: 0.00 
sample 19 	 MSE: 13.68 	 SSIM: 0.00 
sample 20 	 MSE: 12.89 	 SSIM: 0.00 
sample 21 	 MSE: 12.57 	 SSIM: 0.00 
sample 22 	 MSE: 18.85 	 SSIM: 0.00 
sample 23 	 MSE: 13.93 	 SSIM: 0.00 
sample 24 	 MSE: 12.97 	 SSIM: 0.00 
sample 25 	 MSE: 14.29 	 SSIM: 0.00 
sample 26 	 MSE: 13.38 	 SSIM: 0.00 
sample 27 	 MSE: 14.44 	 SSIM: 0.00 
sample 28 	 MSE: 17.63 	 SSIM: 0.00 
sample 29 	 MSE: 16.68 	 SSIM: 0.00 
sample 30 	 MSE: 12.50 	 SSIM: 0.00 
sample 31 	 MSE: 14.45 	 SSIM: 0.00 
sample 32 	 MSE: 13.19 	 SSIM: 0.00 
sample 33 	 MSE: 12.89 	 SSIM: 0.00 
sample 34 	 MSE: 15.22 	 SSIM: 0.00 
sample 35 	 MSE: 14.93 	 SSIM: 0.00 
sample 36 	 MSE: 11.90 	 SSIM: 0.00 
sample 37 	 MSE: 14.84 	 SSIM: 0.00 
sample 38 	 MSE: 14.51 	 SSIM: 0.00 
sample 39 	 MSE: 12.89 	 SSIM: 0.00 
sample 40 	 MSE: 15.45 	 SSIM: 0.00 
sample 41 	 MSE: 13.25 	 SSIM: 0.00 
sample 42 	 MSE: 18.85 	 SSIM: 0.00 
sample 43 	 MSE: 14.03 	 SSIM: 0.00 
sample 44 	 MSE: 14.46 	 SSIM: 0.00 
sample 45 	 MSE: 11.18 	 SSIM: 0.00 
sample 46 	 MSE: 12.46 	 SSIM: 0.00 
sample 47 	 MSE: 14.43 	 SSIM: 0.00 
sample 48 	 MSE: 16.28 	 SSIM: 0.00 
sample 49 	 MSE: 11.18 	 SSIM: 0.00 
sample 50 	 MSE: 12.97 	 SSIM: 0.00 
sample 51 	 MSE: 13.49 	 SSIM: 0.00 
sample 52 	 MSE: 14.19 	 SSIM: 0.00 
sample 53 	 MSE: 14.62 	 SSIM: 0.00 
sample 54 	 MSE: 14.18 	 SSIM: 0.00 
sample 55 	 MSE: 15.65 	 SSIM: 0.00 
sample 56 	 MSE: 13.57 	 SSIM: 0.00 
sample 57 	 MSE: 12.88 	 SSIM: 0.00 
sample 58 	 MSE: 16.18 	 SSIM: 0.00 
sample 59 	 MSE: 11.89 	 SSIM: 0.00 
sample 60 	 MSE: 12.96 	 SSIM: 0.00 
sample 61 	 MSE: 13.80 	 SSIM: 0.00 
sample 62 	 MSE: 14.34 	 SSIM: 0.00 
sample 63 	 MSE: 13.88 	 SSIM: 0.00 
Iteration 1399 : 
sample 0 	 MSE: 14.58 	 SSIM: 0.00 
sample 1 	 MSE: 13.42 	 SSIM: 0.00 
sample 2 	 MSE: 15.06 	 SSIM: 0.00 
sample 3 	 MSE: 16.25 	 SSIM: 0.00 
sample 4 	 MSE: 15.12 	 SSIM: 0.00 
sample 5 	 MSE: 15.21 	 SSIM: 0.00 
sample 6 	 MSE: 12.46 	 SSIM: 0.00 
sample 7 	 MSE: 12.97 	 SSIM: 0.00 
sample 8 	 MSE: 14.62 	 SSIM: 0.00 
sample 9 	 MSE: 14.15 	 SSIM: 0.00 
sample 10 	 MSE: 14.15 	 SSIM: 0.00 
sample 11 	 MSE: 14.29 	 SSIM: 0.00 
sample 12 	 MSE: 13.76 	 SSIM: 0.00 
sample 13 	 MSE: 12.46 	 SSIM: 0.00 
sample 14 	 MSE: 14.70 	 SSIM: 0.00 
sample 15 	 MSE: 12.57 	 SSIM: 0.00 
sample 16 	 MSE: 14.12 	 SSIM: 0.00 
sample 17 	 MSE: 13.76 	 SSIM: 0.00 
sample 18 	 MSE: 11.49 	 SSIM: 0.00 
sample 19 	 MSE: 13.68 	 SSIM: 0.00 
sample 20 	 MSE: 12.89 	 SSIM: 0.00 
sample 21 	 MSE: 12.57 	 SSIM: 0.00 
sample 22 	 MSE: 18.85 	 SSIM: 0.00 
sample 23 	 MSE: 13.93 	 SSIM: 0.00 
sample 24 	 MSE: 12.97 	 SSIM: 0.00 
sample 25 	 MSE: 14.29 	 SSIM: 0.00 
sample 26 	 MSE: 13.38 	 SSIM: 0.00 
sample 27 	 MSE: 14.44 	 SSIM: 0.00 
sample 28 	 MSE: 17.63 	 SSIM: 0.00 
sample 29 	 MSE: 16.68 	 SSIM: 0.00 
